Found numAxis:  3 in currentStep 0
Found NAXIS1 :  200 in currentStep 0
Found NAXIS2 :  200 in currentStep 0
Found NAXIS3 :  100 in currentStep 0

#Channel       Frequency       Mean        Std     Median      MADFM      1%ile        Min        Max
#                    MHz   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam
       0        1.000000      0.006      0.000      0.000      0.000      0.000     -1.833      1.797
       1        1.000000      0.007      0.000      0.000      0.000      0.000     -2.096      2.061
       2        1.000000      0.004      0.000      0.000      0.000      0.000     -1.900      2.047
       3        1.000000     -0.002      0.000      0.000      0.000      0.000     -2.188      2.067
       4        1.000000     -0.004      0.000      0.000      0.000      0.000     -2.038      2.304
       5        1.000000      0.000      0.000      0.000      0.000      0.000     -1.945      2.248
       6        1.000000      0.004      0.000      0.000      0.000      0.000     -1.937      2.215
       7        1.000000      0.002      0.000      0.000      0.000      0.000     -1.859      1.916
       8        1.000000     -0.003      0.000      0.000      0.000      0.000     -1.940      2.131
       9        1.000000     -0.005      0.000      0.000      0.000      0.000     -2.309      2.155
      10        1.000000     -0.004      0.000      0.000      0.000      0.000     -2.074      2.021
      11        1.000000     -0.005      0.000      0.000      0.000      0.000     -2.229      2.124
      12        1.000000     -0.002      0.000      0.000      0.000      0.000     -2.318      4.740
      13        1.000000      0.008      0.000      0.000      0.000      0.000     -2.052      6.430
      14        1.000000      0.014      0.000      0.000      0.000      0.000     -2.148      6.523
      15        1.000000      0.012      0.000      0.000      0.000      0.000     -2.322      7.250
      16        1.000000      0.006      0.000      0.000      0.000      0.000     -2.002      8.150
      17        1.000000      0.001      0.000      0.000      0.000      0.000     -2.084      7.890
      18        1.000000      0.002      0.000      0.000      0.000      0.000     -2.048      8.326
      19        1.000000      0.006      0.000      0.000      0.000      0.000     -1.981      8.637
      20        1.000000      0.004      0.000      0.000      0.000      0.000     -1.953      8.123
      21        1.000000     -0.000      0.000      0.000      0.000      0.000     -2.215      7.625
      22        1.000000      0.004      0.000      0.000      0.000      0.000     -1.818      7.295
      23        1.000000      0.011      0.000      0.000      0.000      0.000     -2.021      6.624
      24        1.000000      0.018      0.000      0.000      0.000      0.000     -1.999      9.477
      25        1.000000      0.025      0.000      0.000      0.000      0.000     -2.298     10.751
      26        1.000000      0.033      0.000      0.000      0.000      0.000     -2.326     11.736
      27        1.000000      0.045      0.000      0.000      0.000      0.000     -2.304     11.961
      28        1.000000      0.051      0.000      0.000      0.000      0.000     -1.869     16.836
      29        1.000000      0.049      0.000      0.000      0.000      0.000     -2.133     17.158
      30        1.000000      0.045      0.000      0.000      0.000      0.000     -1.965     14.171
      31        1.000000      0.044      0.000      0.000      0.000      0.000     -1.863     12.192
      32        1.000000      0.039      0.000      0.000      0.000      0.000     -1.807     12.208
      33        1.000000      0.033      0.000      0.000      0.000      0.000     -1.905     12.153
      34        1.000000      0.031      0.000      0.000      0.000      0.000     -1.906     11.427
      35        1.000000      0.027      0.000      0.000      0.000      0.000     -1.969     11.408
      36        1.000000      0.030      0.000      0.000      0.000      0.000     -2.218     10.697
      37        1.000000      0.029      0.000      0.000      0.000      0.000     -2.496     11.028
      38        1.000000      0.026      0.000      0.000      0.000      0.000     -2.479     11.594
      39        1.000000      0.027      0.000      0.000      0.000      0.000     -2.083     11.184
      40        1.000000      0.034      0.000      0.000      0.000      0.000     -2.219     11.322
      41        1.000000      0.037      0.000      0.000      0.000      0.000     -2.016     12.452
      42        1.000000      0.038      0.000      0.000      0.000      0.000     -2.280     13.866
      43        1.000000      0.042      0.000      0.000      0.000      0.000     -2.073     16.080
      44        1.000000      0.044      0.000      0.000      0.000      0.000     -2.039     18.041
      45        1.000000      0.051      0.000      0.000      0.000      0.000     -2.125     20.546
      46        1.000000      0.063      0.000      0.000      0.000      0.000     -2.156     21.599
      47        1.000000      0.069      0.000      0.000      0.000      0.000     -2.059     20.107
      48        1.000000      0.070      0.000      0.000      0.000      0.000     -2.015     17.043
      49        1.000000      0.065      0.000      0.000      0.000      0.000     -2.198     17.118
      50        1.000000      0.056      0.000      0.000      0.000      0.000     -2.185     14.656
      51        1.000000      0.038      0.000      0.000      0.000      0.000     -2.087     11.960
      52        1.000000      0.017      0.000      0.000      0.000      0.000     -2.192      6.454
      53        1.000000      0.009      0.000      0.000      0.000      0.000     -2.012      2.974
      54        1.000000      0.007      0.000      0.000      0.000      0.000     -2.339      2.124
      55        1.000000      0.001      0.000      0.000      0.000      0.000     -2.122      2.237
      56        1.000000     -0.005      0.000      0.000      0.000      0.000     -2.042      1.913
      57        1.000000     -0.006      0.000      0.000      0.000      0.000     -2.274      2.077
      58        1.000000     -0.004      0.000      0.000      0.000      0.000     -2.062      1.926
      59        1.000000      0.002      0.000      0.000      0.000      0.000     -1.869      2.200
      60        1.000000      0.010      0.000      0.000      0.000      0.000     -2.012      1.972
      61        1.000000      0.010      0.000      0.000      0.000      0.000     -1.955      2.269
      62        1.000000      0.003      0.000      0.000      0.000      0.000     -2.068      2.329
      63        1.000000     -0.001      0.000      0.000      0.000      0.000     -1.902      1.854
      64        1.000000     -0.000      0.000      0.000      0.000      0.000     -1.974      2.154
      65        1.000000      0.002      0.000      0.000      0.000      0.000     -2.026      2.321
      66        1.000000      0.001      0.000      0.000      0.000      0.000     -1.876      2.220
      67        1.000000      0.002      0.000      0.000      0.000      0.000     -2.197      2.178
      68        1.000000      0.004      0.000      0.000      0.000      0.000     -2.124      2.255
      69        1.000000      0.003      0.000      0.000      0.000      0.000     -1.920      2.049
      70        1.000000      0.001      0.000      0.000      0.000      0.000     -2.215      1.851
      71        1.000000     -0.001      0.000      0.000      0.000      0.000     -1.997      2.036
