Found numAxis:  3 in currentStep 0
Found NAXIS1 :  200 in currentStep 0
Found NAXIS2 :  200 in currentStep 0
Found NAXIS3 :  100 in currentStep 0

#Channel       Frequency       Mean        Std     Median      MADFM      1%ile        Min        Max
#                    MHz   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam
      75        1.000000      0.013      0.000      0.000      0.000      0.000     -2.049      2.137
      76        1.000000      0.010      0.000      0.000      0.000      0.000     -2.169      2.218
      77        1.000000      0.001      0.000      0.000      0.000      0.000     -2.109      2.314
       0        1.000000      0.006      0.000      0.000      0.000      0.000     -1.833      1.797
      25        1.000000      0.025      0.000      0.000      0.000      0.000     -2.298     10.751
      50        1.000000      0.056      0.000      0.000      0.000      0.000     -2.185     14.656
      78        1.000000     -0.002      0.000      0.000      0.000      0.000     -2.425      3.011
       1        1.000000      0.007      0.000      0.000      0.000      0.000     -2.096      2.061
      26        1.000000      0.033      0.000      0.000      0.000      0.000     -2.326     11.736
      51        1.000000      0.038      0.000      0.000      0.000      0.000     -2.087     11.960
      79        1.000000      0.005      0.000      0.000      0.000      0.000     -1.989      3.281
       2        1.000000      0.004      0.000      0.000      0.000      0.000     -1.900      2.047
      27        1.000000      0.045      0.000      0.000      0.000      0.000     -2.304     11.961
      52        1.000000      0.017      0.000      0.000      0.000      0.000     -2.192      6.454
      80        1.000000      0.009      0.000      0.000      0.000      0.000     -2.179      3.467
       3        1.000000     -0.002      0.000      0.000      0.000      0.000     -2.188      2.067
      28        1.000000      0.051      0.000      0.000      0.000      0.000     -1.869     16.836
      53        1.000000      0.009      0.000      0.000      0.000      0.000     -2.012      2.974
      81        1.000000      0.011      0.000      0.000      0.000      0.000     -2.136      3.945
       4        1.000000     -0.004      0.000      0.000      0.000      0.000     -2.038      2.304
      29        1.000000      0.049      0.000      0.000      0.000      0.000     -2.133     17.158
      54        1.000000      0.007      0.000      0.000      0.000      0.000     -2.339      2.124
      82        1.000000      0.014      0.000      0.000      0.000      0.000     -2.050      4.192
       5        1.000000      0.000      0.000      0.000      0.000      0.000     -1.945      2.248
      30        1.000000      0.045      0.000      0.000      0.000      0.000     -1.965     14.171
      55        1.000000      0.001      0.000      0.000      0.000      0.000     -2.122      2.237
      83        1.000000      0.013      0.000      0.000      0.000      0.000     -1.938      5.195
       6        1.000000      0.004      0.000      0.000      0.000      0.000     -1.937      2.215
      31        1.000000      0.044      0.000      0.000      0.000      0.000     -1.863     12.192
      56        1.000000     -0.005      0.000      0.000      0.000      0.000     -2.042      1.913
      84        1.000000      0.011      0.000      0.000      0.000      0.000     -2.236      7.374
       7        1.000000      0.002      0.000      0.000      0.000      0.000     -1.859      1.916
      57        1.000000     -0.006      0.000      0.000      0.000      0.000     -2.274      2.077
      32        1.000000      0.039      0.000      0.000      0.000      0.000     -1.807     12.208
      85        1.000000      0.009      0.000      0.000      0.000      0.000     -2.305      8.109
       8        1.000000     -0.003      0.000      0.000      0.000      0.000     -1.940      2.131
      58        1.000000     -0.004      0.000      0.000      0.000      0.000     -2.062      1.926
      33        1.000000      0.033      0.000      0.000      0.000      0.000     -1.905     12.153
      86        1.000000      0.005      0.000      0.000      0.000      0.000     -2.193      6.294
       9        1.000000     -0.005      0.000      0.000      0.000      0.000     -2.309      2.155
      59        1.000000      0.002      0.000      0.000      0.000      0.000     -1.869      2.200
      34        1.000000      0.031      0.000      0.000      0.000      0.000     -1.906     11.427
      87        1.000000      0.002      0.000      0.000      0.000      0.000     -1.928      3.236
      10        1.000000     -0.004      0.000      0.000      0.000      0.000     -2.074      2.021
      60        1.000000      0.010      0.000      0.000      0.000      0.000     -2.012      1.972
      35        1.000000      0.027      0.000      0.000      0.000      0.000     -1.969     11.408
      88        1.000000      0.001      0.000      0.000      0.000      0.000     -1.898      2.168
      11        1.000000     -0.005      0.000      0.000      0.000      0.000     -2.229      2.124
      61        1.000000      0.010      0.000      0.000      0.000      0.000     -1.955      2.269
      36        1.000000      0.030      0.000      0.000      0.000      0.000     -2.218     10.697
      89        1.000000      0.001      0.000      0.000      0.000      0.000     -2.399      2.308
      12        1.000000     -0.002      0.000      0.000      0.000      0.000     -2.318      4.740
      62        1.000000      0.003      0.000      0.000      0.000      0.000     -2.068      2.329
      37        1.000000      0.029      0.000      0.000      0.000      0.000     -2.496     11.028
      90        1.000000      0.003      0.000      0.000      0.000      0.000     -2.171      2.470
      13        1.000000      0.008      0.000      0.000      0.000      0.000     -2.052      6.430
      38        1.000000      0.026      0.000      0.000      0.000      0.000     -2.479     11.594
      63        1.000000     -0.001      0.000      0.000      0.000      0.000     -1.902      1.854
      91        1.000000      0.007      0.000      0.000      0.000      0.000     -2.094      2.080
      14        1.000000      0.014      0.000      0.000      0.000      0.000     -2.148      6.523
      64        1.000000     -0.000      0.000      0.000      0.000      0.000     -1.974      2.154
      39        1.000000      0.027      0.000      0.000      0.000      0.000     -2.083     11.184
      92        1.000000      0.007      0.000      0.000      0.000      0.000     -2.203      2.289
      15        1.000000      0.012      0.000      0.000      0.000      0.000     -2.322      7.250
      65        1.000000      0.002      0.000      0.000      0.000      0.000     -2.026      2.321
      40        1.000000      0.034      0.000      0.000      0.000      0.000     -2.219     11.322
      93        1.000000      0.003      0.000      0.000      0.000      0.000     -2.171      1.981
      16        1.000000      0.006      0.000      0.000      0.000      0.000     -2.002      8.150
      41        1.000000      0.037      0.000      0.000      0.000      0.000     -2.016     12.452
      66        1.000000      0.001      0.000      0.000      0.000      0.000     -1.876      2.220
      94        1.000000     -0.003      0.000      0.000      0.000      0.000     -2.141      1.960
      17        1.000000      0.001      0.000      0.000      0.000      0.000     -2.084      7.890
      42        1.000000      0.038      0.000      0.000      0.000      0.000     -2.280     13.866
      67        1.000000      0.002      0.000      0.000      0.000      0.000     -2.197      2.178
      95        1.000000     -0.001      0.000      0.000      0.000      0.000     -2.028      1.884
      18        1.000000      0.002      0.000      0.000      0.000      0.000     -2.048      8.326
      43        1.000000      0.042      0.000      0.000      0.000      0.000     -2.073     16.080
      68        1.000000      0.004      0.000      0.000      0.000      0.000     -2.124      2.255
      96        1.000000      0.007      0.000      0.000      0.000      0.000     -2.051      2.046
      19        1.000000      0.006      0.000      0.000      0.000      0.000     -1.981      8.637
      44        1.000000      0.044      0.000      0.000      0.000      0.000     -2.039     18.041
      69        1.000000      0.003      0.000      0.000      0.000      0.000     -1.920      2.049
      97        1.000000      0.007      0.000      0.000      0.000      0.000     -1.991      2.283
      20        1.000000      0.004      0.000      0.000      0.000      0.000     -1.953      8.123
      45        1.000000      0.051      0.000      0.000      0.000      0.000     -2.125     20.546
      70        1.000000      0.001      0.000      0.000      0.000      0.000     -2.215      1.851
      98        1.000000     -0.002      0.000      0.000      0.000      0.000     -1.986      1.904
      21        1.000000     -0.000      0.000      0.000      0.000      0.000     -2.215      7.625
      71        1.000000     -0.001      0.000      0.000      0.000      0.000     -1.997      2.036
      46        1.000000      0.063      0.000      0.000      0.000      0.000     -2.156     21.599
      99        1.000000     -0.006      0.000      0.000      0.000      0.000     -1.985      1.950
      22        1.000000      0.004      0.000      0.000      0.000      0.000     -1.818      7.295
      47        1.000000      0.069      0.000      0.000      0.000      0.000     -2.059     20.107
      72        1.000000      0.002      0.000      0.000      0.000      0.000     -2.100      2.520
      23        1.000000      0.011      0.000      0.000      0.000      0.000     -2.021      6.624
      48        1.000000      0.070      0.000      0.000      0.000      0.000     -2.015     17.043
      73        1.000000      0.007      0.000      0.000      0.000      0.000     -2.047      3.022
      24        1.000000      0.018      0.000      0.000      0.000      0.000     -1.999      9.477
      49        1.000000      0.065      0.000      0.000      0.000      0.000     -2.198     17.118
      74        1.000000      0.010      0.000      0.000      0.000      0.000     -2.160      2.992
