#Channel       Frequency       Mean        Std     Median      MADFM      1%ile        Min        Max
#                    MHz   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam
     109        1.000000     -0.002      0.000      0.000      0.000      0.000    -23.169     21.561
     110        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.076     20.279
     111        1.000000     -0.006      0.000      0.000      0.000      0.000    -22.828     18.161
     112        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.592     19.774
     113        1.000000     -0.008      0.000      0.000      0.000      0.000    -22.257     21.338
     114        1.000000     -0.001      0.000      0.000      0.000      0.000    -23.539     23.277
     115        1.000000     -0.003      0.000      0.000      0.000      0.000    -19.936     23.621
     116        1.000000      0.001      0.000      0.000      0.000      0.000    -21.008     18.335
     117        1.000000      0.002      0.000      0.000      0.000      0.000    -18.152     21.443
     118        1.000000     -0.001      0.000      0.000      0.000      0.000    -19.468     29.682
     119        1.000000      0.002      0.000      0.000      0.000      0.000    -20.923     22.228
     120        1.000000     -0.004      0.000      0.000      0.000      0.000    -21.939     21.347
     121        1.000000      0.005      0.000      0.000      0.000      0.000    -21.234     22.544
     122        1.000000     -0.008      0.000      0.000      0.000      0.000    -24.161     20.563
     123        1.000000     -0.009      0.000      0.000      0.000      0.000    -19.592     21.397
     124        1.000000      0.003      0.000      0.000      0.000      0.000    -18.319     17.806
     125        1.000000     -0.006      0.000      0.000      0.000      0.000    -22.006     18.913
     126        1.000000     -0.001      0.000      0.000      0.000      0.000    -19.482     19.475
     127        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.082     18.093
     128        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.288     22.432
     129        1.000000      0.001      0.000      0.000      0.000      0.000    -19.286     19.644
     130        1.000000     -0.007      0.000      0.000      0.000      0.000    -22.108     19.150
     131        1.000000     -0.000      0.000      0.000      0.000      0.000    -22.175     18.527
     132        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.503     21.245
     133        1.000000      0.004      0.000      0.000      0.000      0.000    -18.391     24.039
     134        1.000000      0.000      0.000      0.000      0.000      0.000    -22.653     20.862
     135        1.000000      0.002      0.000      0.000      0.000      0.000    -18.820     26.335
     136        1.000000     -0.007      0.000      0.000      0.000      0.000    -21.386     19.743
     137        1.000000     -0.003      0.000      0.000      0.000      0.000    -21.857     19.668
     138        1.000000      0.006      0.000      0.000      0.000      0.000    -21.647     21.505
     139        1.000000     -0.008      0.000      0.000      0.000      0.000    -21.056     18.866
     140        1.000000     -0.006      0.000      0.000      0.000      0.000    -19.978     21.838
     141        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.119     21.794
     142        1.000000     -0.001      0.000      0.000      0.000      0.000    -22.576     20.395
     143        1.000000     -0.011      0.000      0.000      0.000      0.000    -22.400     20.953
     144        1.000000     -0.007      0.000      0.000      0.000      0.000    -20.474     18.030
     217        1.000000      0.005      0.000      0.000      0.000      0.000    -25.735     19.556
     145        1.000000     -0.000      0.000      0.000      0.000      0.000    -20.231     21.701
     218        1.000000     -0.008      0.000      0.000      0.000      0.000    -21.966     20.676
     146        1.000000     -0.014      0.000      0.000      0.000      0.000    -21.397     18.722
     219        1.000000     -0.001      0.000      0.000      0.000      0.000    -20.261     20.399
     220        1.000000      0.003      0.000      0.000      0.000      0.000    -19.683     20.436
     147        1.000000     -0.009      0.000      0.000      0.000      0.000    -26.242     22.932
     221        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.260     24.521
     148        1.000000     -0.008      0.000      0.000      0.000      0.000    -19.338     19.774
     222        1.000000     -0.008      0.000      0.000      0.000      0.000    -20.254     23.156
     149        1.000000     -0.016      0.000      0.000      0.000      0.000    -23.467     26.686
     223        1.000000     -0.006      0.000      0.000      0.000      0.000    -21.661     21.283
     150        1.000000     -0.004      0.000      0.000      0.000      0.000    -22.435     21.420
     224        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.368     20.000
     151        1.000000     -0.013      0.000      0.000      0.000      0.000    -32.805     18.463
     225        1.000000      0.005      0.000      0.000      0.000      0.000    -20.200     19.402
     152        1.000000     -0.007      0.000      0.000      0.000      0.000    -19.657     19.556
     226        1.000000      0.001      0.000      0.000      0.000      0.000    -20.783     18.716
     153        1.000000     -0.010      0.000      0.000      0.000      0.000    -30.214     24.548
     227        1.000000      0.001      0.000      0.000      0.000      0.000    -19.549     21.268
     154        1.000000     -0.003      0.000      0.000      0.000      0.000    -23.429     19.922
     228        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.638     20.923
     155        1.000000     -0.009      0.000      0.000      0.000      0.000    -23.017     19.107
     229        1.000000     -0.010      0.000      0.000      0.000      0.000    -21.330     23.345
     156        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.240     21.788
     230        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.820     20.728
     157        1.000000     -0.002      0.000      0.000      0.000      0.000    -31.092     21.148
     158        1.000000     -0.006      0.000      0.000      0.000      0.000    -21.986     19.108
     231        1.000000     -0.008      0.000      0.000      0.000      0.000    -22.668     19.579
     159        1.000000      0.014      0.000      0.000      0.000      0.000    -22.270     28.085
     232        1.000000     -0.005      0.000      0.000      0.000      0.000    -18.742     19.501
     160        1.000000     -0.022      0.000      0.000      0.000      0.000    -22.552     19.366
     233        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.860     20.117
     161        1.000000      0.004      0.000      0.000      0.000      0.000    -20.316     25.567
     234        1.000000     -0.005      0.000      0.000      0.000      0.000    -20.579     18.731
     162        1.000000     -0.003      0.000      0.000      0.000      0.000    -28.520     23.189
     235        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.918     19.306
     236        1.000000      0.000      0.000      0.000      0.000      0.000    -23.459     21.303
     237        1.000000     -0.006      0.000      0.000      0.000      0.000    -21.568     20.491
     238        1.000000      0.003      0.000      0.000      0.000      0.000    -18.873     18.350
     239        1.000000      0.001      0.000      0.000      0.000      0.000    -20.481     21.935
     240        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.287     22.991
     241        1.000000     -0.003      0.000      0.000      0.000      0.000    -22.736     29.824
     242        1.000000     -0.002      0.000      0.000      0.000      0.000    -21.557     22.831
     243        1.000000      0.002      0.000      0.000      0.000      0.000    -21.148     23.033
      55        1.000000     -0.007      0.000      0.000      0.000      0.000    -20.865     19.916
     244        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.519     22.065
      56        1.000000      0.000      0.000      0.000      0.000      0.000    -24.186     19.909
     245        1.000000     -0.008      0.000      0.000      0.000      0.000    -18.995     19.642
      57        1.000000     -0.007      0.000      0.000      0.000      0.000    -18.760     24.559
     246        1.000000     -0.004      0.000      0.000      0.000      0.000    -29.481     21.620
      58        1.000000      0.003      0.000      0.000      0.000      0.000    -20.788     18.575
       1        1.000000     -0.001      0.000      0.000      0.000      0.000    -22.369     22.544
     163        1.000000      0.011      0.000      0.000      0.000      0.000    -22.491     23.853
     247        1.000000     -0.003      0.000      0.000      0.000      0.000    -18.402     26.752
      59        1.000000      0.005      0.000      0.000      0.000      0.000    -23.322     18.355
     164        1.000000      0.013      0.000      0.000      0.000      0.000    -20.964     24.851
       2        1.000000      0.001      0.000      0.000      0.000      0.000    -23.654     22.757
     248        1.000000     -0.001      0.000      0.000      0.000      0.000    -20.021     18.833
      60        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.399     19.632
     165        1.000000      0.013      0.000      0.000      0.000      0.000    -18.683     21.408
       3        1.000000      0.012      0.000      0.000      0.000      0.000    -19.068     20.087
     249        1.000000     -0.008      0.000      0.000      0.000      0.000    -24.706     25.720
      61        1.000000     -0.002      0.000      0.000      0.000      0.000    -23.010     18.796
     166        1.000000      0.015      0.000      0.000      0.000      0.000    -18.060     21.978
       4        1.000000      0.004      0.000      0.000      0.000      0.000    -23.760     22.355
     250        1.000000      0.001      0.000      0.000      0.000      0.000    -22.614     23.060
     167        1.000000      0.002      0.000      0.000      0.000      0.000    -22.082     20.614
      62        1.000000     -0.005      0.000      0.000      0.000      0.000    -17.821     19.550
       5        1.000000     -0.002      0.000      0.000      0.000      0.000    -18.296     21.445
     251        1.000000     -0.000      0.000      0.000      0.000      0.000    -20.784     25.246
     168        1.000000      0.005      0.000      0.000      0.000      0.000    -21.298     20.541
       6        1.000000      0.001      0.000      0.000      0.000      0.000    -18.866     19.907
      63        1.000000     -0.007      0.000      0.000      0.000      0.000    -21.412     19.750
     252        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.522     20.236
     169        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.116     19.036
       7        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.656     23.049
      64        1.000000      0.005      0.000      0.000      0.000      0.000    -19.469     19.909
     253        1.000000     -0.004      0.000      0.000      0.000      0.000    -19.846     21.666
     170        1.000000     -0.014      0.000      0.000      0.000      0.000    -20.459     22.529
       8        1.000000     -0.001      0.000      0.000      0.000      0.000    -27.004     20.096
      65        1.000000     -0.002      0.000      0.000      0.000      0.000    -18.485     20.961
     171        1.000000     -0.008      0.000      0.000      0.000      0.000    -23.889     21.374
     254        1.000000      0.000      0.000      0.000      0.000      0.000    -19.462     22.502
       9        1.000000     -0.008      0.000      0.000      0.000      0.000    -18.862     23.724
      66        1.000000     -0.009      0.000      0.000      0.000      0.000    -22.979     18.954
     172        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.629     20.344
      10        1.000000      0.009      0.000      0.000      0.000      0.000    -18.463     19.578
      67        1.000000      0.001      0.000      0.000      0.000      0.000    -24.114     20.983
     255        1.000000     -0.004      0.000      0.000      0.000      0.000    -21.538     19.514
     173        1.000000     -0.004      0.000      0.000      0.000      0.000    -22.026     21.442
      11        1.000000      0.009      0.000      0.000      0.000      0.000    -18.000     22.400
      68        1.000000     -0.007      0.000      0.000      0.000      0.000    -20.948     22.333
     256        1.000000     -0.011      0.000      0.000      0.000      0.000    -21.109     18.441
     174        1.000000     -0.007      0.000      0.000      0.000      0.000    -19.340     20.400
      69        1.000000     -0.003      0.000      0.000      0.000      0.000    -22.526     33.103
      12        1.000000     -0.007      0.000      0.000      0.000      0.000    -20.540     20.689
     257        1.000000      0.001      0.000      0.000      0.000      0.000    -22.571     19.420
     175        1.000000     -0.008      0.000      0.000      0.000      0.000    -26.289     19.357
      70        1.000000     -0.003      0.000      0.000      0.000      0.000    -19.062     23.437
      13        1.000000      0.006      0.000      0.000      0.000      0.000    -20.322     23.484
     258        1.000000     -0.007      0.000      0.000      0.000      0.000    -28.241     18.293
     176        1.000000     -0.000      0.000      0.000      0.000      0.000    -21.189     18.444
      71        1.000000     -0.010      0.000      0.000      0.000      0.000    -19.543     19.389
      14        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.569     19.447
     259        1.000000     -0.010      0.000      0.000      0.000      0.000    -21.213     19.275
