#Channel       Frequency       Mean        Std     Median      MADFM      1%ile        Min        Max
#                    MHz   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam
       1        1.000000     -0.001      0.000      0.000      0.000      0.000    -22.369     22.544
       5        1.000000     -0.002      0.000      0.000      0.000      0.000    -18.296     21.445
       2        1.000000      0.001      0.000      0.000      0.000      0.000    -23.654     22.757
       4        1.000000      0.004      0.000      0.000      0.000      0.000    -23.760     22.355
       3        1.000000      0.012      0.000      0.000      0.000      0.000    -19.068     20.087
       6        1.000000      0.001      0.000      0.000      0.000      0.000    -18.866     19.907
      10        1.000000      0.009      0.000      0.000      0.000      0.000    -18.463     19.578
       8        1.000000     -0.001      0.000      0.000      0.000      0.000    -27.004     20.096
       9        1.000000     -0.008      0.000      0.000      0.000      0.000    -18.862     23.724
       7        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.656     23.049
      11        1.000000      0.009      0.000      0.000      0.000      0.000    -18.000     22.400
      15        1.000000     -0.005      0.000      0.000      0.000      0.000    -20.561     23.507
      13        1.000000      0.006      0.000      0.000      0.000      0.000    -20.322     23.484
      14        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.569     19.447
      12        1.000000     -0.007      0.000      0.000      0.000      0.000    -20.540     20.689
      16        1.000000      0.001      0.000      0.000      0.000      0.000    -19.921     22.550
      20        1.000000      0.001      0.000      0.000      0.000      0.000    -19.720     19.335
      18        1.000000     -0.000      0.000      0.000      0.000      0.000    -18.900     19.903
      19        1.000000     -0.005      0.000      0.000      0.000      0.000    -18.379     23.171
      17        1.000000     -0.001      0.000      0.000      0.000      0.000    -22.177     19.207
      21        1.000000     -0.008      0.000      0.000      0.000      0.000    -20.405     19.152
      25        1.000000     -0.005      0.000      0.000      0.000      0.000    -18.624     25.343
      26        1.000000      0.002      0.000      0.000      0.000      0.000    -20.741     23.193
      23        1.000000      0.003      0.000      0.000      0.000      0.000    -20.300     20.256
      24        1.000000     -0.007      0.000      0.000      0.000      0.000    -21.374     24.427
      22        1.000000     -0.008      0.000      0.000      0.000      0.000    -20.200     20.263
      30        1.000000     -0.001      0.000      0.000      0.000      0.000    -23.569     21.183
      27        1.000000     -0.000      0.000      0.000      0.000      0.000    -18.836     19.809
      31        1.000000      0.002      0.000      0.000      0.000      0.000    -20.934     19.795
      29        1.000000      0.002      0.000      0.000      0.000      0.000    -19.089     18.976
